text,label
"can you make me a coffee (PLACEHOLDER - REPLACE ME)","casual"
"make yourself comfortable","casual"
"change the TV channel please","casual"
"where should we go for dinner?","casual"
"update me when the movie starts","casual"
"delete this message after reading 😂","casual"
"create a playlist for the road trip","casual"
"find my headphones if you can","casual"
"show me some motivation","casual"
"drop by my house this evening","casual"
"set an alarm for tomorrow morning","casual"
"remove the stain from this shirt","casual"
"count how many chocolates are left","casual"
"rename our group to Weekend Squad","casual"
"archive these old family photos","casual"
"restore my confidence before the exam 😅","casual"
"assign me a good movie to watch","casual"
"replace the batteries in the remote","casual"
"merge these two photos together","casual"
"split the pizza into eight slices","casual"
"copy this paragraph into my notes","casual"
"move your chair a little closer","casual"
"edit my selfie to look brighter","casual"
"insert a smile here 😊","casual"
"update your knowledge about cricket","casual"
"where did I keep my wallet?","casual"
"make today count","casual"
"change your mood to happy 😄","casual"
"show some love ❤️","casual"
"find a good reason to celebrate","casual"